task_id,occupation,onet_soc_code,task,physical_req_2025,interpersonal_req_2025,uncertainty_req_2025,domain_req_2025,rater2_capability_2026,rater2_has_2026,rater2_notes
1254,Credit Analysts,13-2041.00,"Complete loan applications, including credit analyses and summaries of loan requests, and submit to loan committees for approval.",2.2,4.2,4.0,3.8,4,2,
1270,Computer Programmers,15-1251.00,"Write, update, and maintain computer programs or software packages to handle specific jobs such as tracking inventory, storing or retrieving data, or controlling other equipment.",2.0,2.56,2.78,3.0,4,2,
2717,Public Safety Telecommunicators,43-5031.00,Read and effectively interpret small-scale maps and information from a computer screen to determine locations and provide directions.,1.0,2.0,1.5,1.0,3,3,
7373,Mathematicians,15-2021.00,"Address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",2.33,2.67,2.44,3.44,5,1,
11404,Data Entry Keyers,43-9021.00,Store completed documents in appropriate locations.,1.83,2.0,2.33,2.67,5,1,
15735,Online Merchants,13-1199.06,"Calculate revenue, sales, and expenses, using financial accounting or spreadsheet software.",1.2,1.1,2.0,2.3,5,1,
16280,Clinical Data Managers,15-2051.02,"Generate data queries, based on validation checks or errors and omissions identified during data entry, to resolve identified problems.",1.17,2.17,2.83,3.67,3,3,
18853,Human Resources Specialists,13-1071.00,Analyze employment-related data and prepare required reports.,2.1,2.0,2.0,2.6,4,2,
19826,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-4011.00,Present information to customers about the energy efficiency or environmental impact of scientific or technical products.,2.4,3.1,2.5,3.4,3,3,
20009,Logistics Analysts,13-1081.02,"Remotely monitor the flow of vehicles or inventory, using Web-based logistics information systems to track vehicles or containers.",2.0,2.33,2.5,2.33,4,2,
20188,Personal Financial Advisors,13-2052.00,Monitor financial market trends to ensure that client plans are responsive.,1.6,2.7,3.4,3.1,3,3,
20327,Search Marketing Strategists,13-1161.01,"Improve search-related activities through ongoing analysis, experimentation, or optimization tests, using A/B or multivariate methods.",2.0,2.0,2.43,3.43,4,2,
20330,Search Marketing Strategists,13-1161.01,Optimize shopping cart experience or Web site conversion rates against Key Performance Indicators (KPIs).,2.0,1.83,2.5,3.17,4,2,
21558,Appraisers and Assessors of Real Estate,13-2023.00,"Review information about transfers of property to ensure its accuracy, checking basic information on buyers, sellers, and sales prices and making corrections as necessary.",1.86,2.57,2.43,2.43,5,1,
22417,Librarians and Media Collections Specialists,25-4022.00,"Respond to customer complaints, taking action as necessary.",1.5,4.75,4.0,3.5,3,3,
23272,"Court, Municipal, and License Clerks",43-4031.00,Record and maintain all vital and fiscal records and accounts.,2.6,2.6,3.0,3.0,3,3,
23290,"Court, Municipal, and License Clerks",43-4031.00,Instruct parties about timing of court appearances.,1.33,3.67,1.67,1.67,3,3,
1783,Editors,27-3041.00,"Oversee publication production, including artwork, layout, computer typesetting, and printing, ensuring adherence to deadlines and budget requirements.",2.22,3.89,3.33,3.78,3,4,
2795,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00,Complete forms in accordance with company procedures.,1.5,2.0,1.75,1.75,5,1,
2806,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00,"Provide services to customers, such as order placement or account information.",2.6,4.2,2.4,3.2,4,2,
3971,Technical Writers,27-3042.00,"Select photographs, drawings, sketches, diagrams, and charts to illustrate material.",1.25,3.75,2.5,3.75,4,2,
7371,Mathematicians,15-2021.00,Develop mathematical or statistical models of phenomena to be used for analysis or for computational simulation.,1.44,1.56,2.78,4.22,3,4,
11238,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-4011.00,"Quote prices, credit terms, or other bid specifications.",2.3,3.4,2.9,2.8,4,2,
15889,Logistics Analysts,13-1081.02,"Communicate with or monitor service providers, such as ocean carriers, air freight forwarders, global consolidators, customs brokers, or trucking companies.",2.5,3.67,3.5,3.5,3,3,
16217,Video Game Designers,15-1255.01,"Create core game features, including storylines, role-play mechanics, and character biographies for a new video game or game franchise.",1.71,2.71,2.71,2.86,3,4,
16973,Quality Control Analysts,19-4099.01,Investigate or report questionable test results.,3.17,2.67,3.33,3.17,3,3,
18943,Credit Counselors,13-2071.00,"Prioritize client debt repayment to avoid dire consequences, such as bankruptcy or foreclosure or to reduce overall costs, such as by paying high-interest or short-term loans first.",1.33,3.33,4.0,3.33,3,3,
1323,Network and Computer Systems Administrators,15-1244.00,"Recommend changes to improve systems and network configurations, and determine hardware or software requirements related to such changes.",2.22,3.33,3.78,3.67,4,2,
3589,Petroleum Engineers,17-2171.00,"Evaluate findings to develop, design, or test equipment or processes.",3.67,2.67,3.33,4.0,2,4,
7368,Mathematicians,15-2021.00,Develop computational methods for solving problems that occur in areas of science and engineering or that come from applications in business or industry.,1.57,2.29,2.57,4.0,3,4,
14683,Computer Systems Engineers/Architects,15-1299.08,Design and conduct hardware or software tests.,1.8,1.4,2.6,4.4,2,4,
15612,Clinical Research Coordinators,11-9121.01,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.",2.1,3.6,2.1,2.5,4,2,
15897,Logistics Analysts,13-1081.02,"Monitor inventory transactions at warehouse facilities to assess receiving, storage, shipping, or inventory integrity.",4.0,3.0,3.67,3.67,4,2,
16143,Business Intelligence Analysts,15-2051.01,"Disseminate information regarding tools, reports, or metadata enhancements.",1.25,2.5,1.75,2.75,5,1,
18101,Health Informatics Specialists,15-1211.01,"Identify, collect, record, or analyze data relevant to the nursing care of patients.",2.0,3.17,2.83,3.5,3,3,
18911,Fundraisers,13-1131.00,"Develop or implement fundraising activities, such as annual giving campaigns or direct mail programs.",3.5,3.67,3.17,3.17,3,3,
20735,Mechanical Engineers,17-2141.00,"Develop or test models of alternate designs or processing methods to assess feasibility, sustainability, operating condition effects, potential new applications, or necessity of modification.",2.62,3.12,3.62,4.0,2,4,
22532,Producers and Directors,27-2012.00,"Perform management activities, such as budgeting, scheduling, planning, and marketing.",2.25,3.5,3.5,3.25,3,4,
102,Training and Development Specialists,13-1151.00,Develop alternative training methods if expected improvements are not seen.,3.17,3.5,3.5,3.5,3,4,
2579,Customer Service Representatives,43-4051.00,"Resolve customers' service or billing complaints by performing activities such as exchanging merchandise, refunding money, or adjusting bills.",2.4,3.1,2.7,2.7,3,3,
3480,Computer Systems Analysts,15-1211.00,"Read manuals, periodicals, and technical reports to learn how to develop programs that meet staff and user requirements.",1.9,2.4,2.1,2.6,4,2,
5503,Geographers,19-3092.00,"Create and modify maps, graphs, or diagrams, using geographical information software and related equipment, and principles of cartography, such as coordinate systems, longitude, latitude, elevation, topography, and map scales.",2.6,2.4,2.0,2.8,4,2,
5506,Geographers,19-3092.00,Locate and obtain existing geographic information databases.,2.5,3.25,2.75,3.0,5,1,
7282,Management Analysts,13-1111.00,"Document findings of study and prepare recommendations for implementation of new systems, procedures, or organizational changes.",2.2,3.8,3.4,3.8,3,3,
8861,Treasurers and Controllers,11-3031.01,"Receive, record, and authorize requests for disbursements in accordance with company policies and procedures.",2.6,2.4,2.6,2.8,3,3,
9350,Photographers,27-4021.00,Review sets of photographs to select the best work.,1.8,2.4,3.0,2.9,4,3,
11237,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-4011.00,"Answer customers' questions about products, prices, availability, or credit terms.",2.1,4.2,2.6,3.8,4,2,
15885,Logistics Analysts,13-1081.02,Determine packaging requirements.,2.33,2.67,3.0,2.0,4,2,
20184,Personal Financial Advisors,13-2052.00,"Manage client portfolios, keeping client plans up-to-date.",2.4,3.6,3.3,3.8,3,3,
20619,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-4011.00,Verify accuracy of materials lists.,2.0,1.9,2.2,2.1,5,1,
