task_id,occupation,task,desire_2025,capacity_2025,zone_2025,physical_req,interpersonal_req,uncertainty_req,domain_req,sam_capability_2026,sam_has_2026,rater2_capability_2026,rater2_has_2026,notes
15997,Financial Quantitative Analysts,"Apply mathematical or statistical techniques to address practical issues in finance, such as derivative valuation, securities trading, risk management, or financial market regulation.",3.3,3.0,Green Light,2.4,2.4,2.8,3.3,,,,,
1340,Aerospace Engineers,"Write technical reports or other documentation, such as handbooks or bulletins, for use by engineering staff, management, or customers.",3.143,3.0,Green Light,1.71,2.43,2.0,3.43,,,,,
3586,Petroleum Engineers,Maintain records of drilling and production operations.,4.333,3.0,Green Light,2.83,2.83,2.33,2.83,,,,,
14740,Web Administrators,"Implement updates, upgrades, and patches in a timely manner to limit loss of service.",3.6,4.667,Green Light,1.8,2.2,2.6,2.6,,,,,
1251,Credit Analysts,Prepare reports that include the degree of risk involved in extending credit or lending money.,3.2,3.5,Green Light,2.2,3.0,3.2,3.2,,,,,
21566,Appraisers and Assessors of Real Estate,Check building codes and zoning bylaws to determine any effects on the properties being appraised.,3.5,3.0,Green Light,2.75,2.75,2.75,2.25,,,,,
20285,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","Perform payroll functions, such as maintaining timekeeping information and processing and submitting payroll.",2.333,3.0,Red Light,1.67,2.33,3.0,2.67,,,,,
15730,Online Merchants,"Calculate purchase subtotals, taxes, and shipping costs for submission to customers.",2.7,5.0,Red Light,1.8,2.1,2.4,2.5,,,,,
19559,Training and Development Specialists,"Evaluate modes of training delivery, such as in-person or virtual, to optimize training effectiveness, training costs, or environmental impacts.",2.667,3.0,Red Light,1.83,3.33,2.83,3.17,,,,,
21319,Financial Managers,Oversee the flow of cash or financial instruments.,2.8,3.0,Red Light,2.6,3.2,2.8,3.4,,,,,
2587,Customer Service Representatives,Review insurance policy terms to determine whether a particular loss is covered by insurance.,2.857,5.0,Red Light,3.29,3.57,3.43,4.0,,,,,
16159,Information Technology Project Managers,"Initiate, review, or approve modifications to project plans.",2.8,3.333,Red Light,2.1,3.1,2.7,3.7,,,,,
22529,Producers and Directors,"Perform administrative duties, such as preparing operational reports, distributing rehearsal call sheets and script copies, and arranging for rehearsal quarters.",3.8,2.0,R&D Opportunity,1.8,3.0,2.8,2.8,,,,,
5505,Geographers,"Develop, operate, and maintain geographical information computer systems, including hardware, software, plotters, digitizers, printers, and video cameras.",3.2,2.667,R&D Opportunity,3.2,2.4,3.0,4.2,,,,,
19054,Judicial Law Clerks,"Verify that all files, complaints, or other papers are available and in the proper order.",3.0,2.5,R&D Opportunity,2.0,1.5,1.75,2.0,,,,,
20854,"Energy Engineers, Except Wind and Solar",Identify and recommend energy savings strategies to achieve more energy-efficient operation.,3.333,2.667,R&D Opportunity,2.0,2.0,2.67,3.33,,,,,
15425,Quality Control Systems Managers,Create and implement inspection and testing criteria or procedures.,3.0,2.333,R&D Opportunity,2.25,3.5,3.75,3.75,,,,,
16151,Information Technology Project Managers,Perform risk assessments to develop response strategies.,3.0,2.0,R&D Opportunity,2.3,3.2,3.4,3.5,,,,,
16808,Molecular and Cellular Biologists,Instruct undergraduate and graduate students within the areas of cellular or molecular biology.,2.714,2.0,Low Priority,3.71,4.14,3.43,4.14,,,,,
18088,Health Informatics Specialists,"Design, develop, select, test, implement, and evaluate new or modified informatics solutions, data structures, and decision-support mechanisms to support patients, health care professionals, and their information management and human-computer and human-technology interactions within health care contexts.",2.667,2.667,Low Priority,2.17,3.17,2.5,2.5,,,,,
288,Art Directors,Present final layouts to clients for approval.,2.429,1.5,Low Priority,2.86,3.86,4.14,4.43,,,,,
1769,Public Relations Specialists,"Study the objectives, promotional policies, or needs of organizations to develop public relations strategies that will influence public opinion or promote ideas, products, or services.",2.0,2.0,Low Priority,2.5,4.5,4.25,4.0,,,,,
9753,Reservation and Transportation Ticket Agents and Travel Clerks,"Assemble and issue required documentation, such as tickets, travel insurance policies, or itineraries.",2.667,2.0,Low Priority,2.5,2.5,2.83,3.0,,,,,
16209,Video Game Designers,"Develop and maintain design level documentation, including mechanics, guidelines, and mission outlines.",2.2,1.667,Low Priority,1.2,2.8,3.2,3.6,,,,,
23197,"Securities, Commodities, and Financial Services Sales Agents",Complete sales order tickets and submit for processing of client-requested transactions.,2.2,4.5,Red Light,1.8,2.6,2.4,2.6,,,,,
16192,Search Marketing Strategists,"Collect and analyze Web metrics, such as visits, time on site, page views per visit, transaction volume and revenue, traffic mix, click-through rates, conversion rates, cost per acquisition, or cost per click.",3.667,5.0,Green Light,1.78,2.11,2.67,3.33,,,,,
1288,Computer User Support Specialists,"Read technical manuals, confer with users, or conduct computer diagnostics to investigate and resolve problems or to provide technical assistance and support.",3.0,3.667,Green Light,1.8,2.9,2.8,3.7,,,,,
18022,Regulatory Affairs Managers,"Direct the preparation and submission of regulatory agency applications, reports, or correspondence.",3.0,2.667,R&D Opportunity,1.71,2.71,3.0,2.86,,,,,
778,Medical Secretaries and Administrative Assistants,"Receive and route messages or documents, such as laboratory results, to appropriate staff.",3.8,3.667,Green Light,3.2,3.2,3.4,3.4,,,,,
20943,Supply Chain Managers,"Manage activities related to strategic or tactical purchasing, material requirements planning, controlling inventory, warehousing, or receiving.",3.167,3.667,Green Light,1.67,2.5,2.33,2.5,,,,,
