task_id,occupation,task,desire_2025,capacity_2025,zone_2025,capability_score_gemini_3_pro,capability_score_gpt_5_5,capability_score_grok_4_20,capability_score_kimi_k2_6,capability_score_opus_4_7,capability_2026_median,capability_2026_mean,cap_rater_stddev,zone_2026_median,zone_2026_mean,migration_median,migration_mean,delta_median,delta_mean,near_threshold
49,Medical and Health Services Managers,"Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports.",3.4,5.0,Green Light,3.0,4.0,5.0,4.0,4.0,4.0,4.0,0.6324555320336759,Green Light,Green Light,Green->Green,Green->Green,-1.0,-1.0,False
51,Medical and Health Services Managers,"Conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting.",3.3,3.6666666666666665,Green Light,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,Green Light,Green Light,Green->Green,Green->Green,-0.6666666666666665,-0.6666666666666665,True
52,Medical and Health Services Managers,"Establish work schedules and assignments for staff, according to workload, space, and equipment availability.",3.6,3.5,Green Light,4.0,3.0,4.0,4.0,4.0,4.0,3.8,0.39999999999999997,Green Light,Green Light,Green->Green,Green->Green,0.5,0.2999999999999998,False
55,Medical and Health Services Managers,"Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options.",2.3,4.0,Red Light,4.0,4.0,4.0,3.0,4.0,4.0,3.8,0.39999999999999997,Red Light,Red Light,Red->Red,Red->Red,0.0,-0.20000000000000018,False
57,Medical and Health Services Managers,"Prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives.",2.8,3.0,Red Light,4.0,4.0,5.0,4.0,4.0,4.0,4.2,0.39999999999999997,Red Light,Red Light,Red->Red,Red->Red,1.0,1.2000000000000002,False
61,Medical and Health Services Managers,Review and analyze facility activities and data to aid planning and cash and risk management and to improve service utilization.,2.9,2.3333333333333335,Low Priority,3.0,3.0,4.0,4.0,4.0,4.0,3.6,0.4898979485566356,Red Light,Red Light,Low->Red,Low->Red,1.6666666666666665,1.2666666666666666,False
80,Cost Estimators,"Analyze blueprints and other documentation to prepare time, cost, materials, and labor estimates.",2.2857142857142856,3.5,Red Light,3.0,3.0,4.0,3.0,4.0,3.0,3.4,0.4898979485566356,Red Light,Red Light,Red->Red,Red->Red,-0.5,-0.10000000000000009,True
84,Cost Estimators,"Prepare estimates used by management for purposes such as planning, organizing, and scheduling work.",2.2857142857142856,3.3333333333333335,Red Light,3.0,3.0,4.0,3.0,4.0,3.0,3.4,0.4898979485566356,Red Light,Red Light,Red->Red,Red->Red,-0.3333333333333335,0.06666666666666643,True
87,Cost Estimators,Prepare cost and expenditure statements and other necessary documentation at regular intervals for the duration of the project.,2.857142857142857,4.0,Red Light,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,Red Light,Red Light,Red->Red,Red->Red,0.0,0.0,False
93,Training and Development Specialists,"Keep up with developments in area of expertise by reading current journals, books, or magazine articles.",3.6,4.0,Green Light,4.0,4.0,5.0,4.0,5.0,4.0,4.4,0.4898979485566356,Green Light,Green Light,Green->Green,Green->Green,0.0,0.40000000000000036,False
