task_id,occupation,onet_soc_code,task,desire_2025,capacity_2025,zone_2025,has_worker_2025,has_expert_2025,sam_capability_2026,sam_has_2026,sam_notes
1254,Credit Analysts,13-2041.00,"Complete loan applications, including credit analyses and summaries of loan requests, and submit to loan committees for approval.",3.0,4.5,Green Light,3.4,1.5,4,2,LLM can draft/validate loan packets; committee approval remains human.
1270,Computer Programmers,15-1251.00,"Write, update, and maintain computer programs or software packages to handle specific jobs such as tracking inventory, storing or retrieving data, or controlling other equipment.",3.111,4.5,Green Light,2.667,2.0,4,2,Coding anchor: Opus 4.7 generally available; SWE-bench Verified 87.6% / CursorBench 70%.
2717,Public Safety Telecommunicators,43-5031.00,Read and effectively interpret small-scale maps and information from a computer screen to determine locations and provide directions.,4.0,4.0,Green Light,1.25,1.5,3,3,"Safety-critical dispatch context; map/screen interpretation strong, but real-time public-safety cap = 3."
7373,Mathematicians,15-2021.00,"Address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",3.111,3.667,Green Light,3.111,2.333,4,2,Frontier reasoning/tools solve many formal math tasks; novel proof/research still needs review.
11404,Data Entry Keyers,43-9021.00,Store completed documents in appropriate locations.,4.333,3.0,Green Light,2.0,2.0,5,1,Digital document filing/routing is fully automatable with workflow permissions.
15735,Online Merchants,13-1199.06,"Calculate revenue, sales, and expenses, using financial accounting or spreadsheet software.",4.4,5.0,Green Light,2.0,1.333,5,1,Spreadsheet/accounting calculations are deterministic once data mappings are defined.
16280,Clinical Data Managers,15-2051.02,"Generate data queries, based on validation checks or errors and omissions identified during data entry, to resolve identified problems.",4.0,3.0,Green Light,2.833,3.5,3,3,"Clinical data quality queries are automatable, but clinical/safety review caps autonomy at 3."
18853,Human Resources Specialists,13-1071.00,Analyze employment-related data and prepare required reports.,3.1,4.0,Green Light,2.1,1.667,4,2,Employment-data reporting is reliable with structured HRIS data; human reviews exceptions/compliance.
19826,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-4011.00,Present information to customers about the energy efficiency or environmental impact of scientific or technical products.,3.1,4.5,Green Light,3.3,1.5,3,3,Customer-facing technical persuasion is interpersonal; cap sustained sales/customer interaction at 3.
20009,Logistics Analysts,13-1081.02,"Remotely monitor the flow of vehicles or inventory, using Web-based logistics information systems to track vehicles or containers.",3.0,3.0,Green Light,2.167,3.0,4,2,Remote logistics monitoring can run end-to-end; humans handle live disruptions/escalations.
20188,Personal Financial Advisors,13-2052.00,Monitor financial market trends to ensure that client plans are responsive.,3.7,3.333,Green Light,2.6,2.667,4,2,Market-trend monitoring and plan alerts are automatable; regulated advice remains separate.
20327,Search Marketing Strategists,13-1161.01,"Improve search-related activities through ongoing analysis, experimentation, or optimization tests, using A/B or multivariate methods.",4.143,4.333,Green Light,2.429,1.667,4,2,A/B test analysis and search optimization can be agent-led with human review of strategy/brand risk.
20330,Search Marketing Strategists,13-1161.01,Optimize shopping cart experience or Web site conversion rates against Key Performance Indicators (KPIs).,4.0,4.0,Green Light,2.5,2.0,4,2,Conversion-rate optimization can be agent-led across analytics/tests; human owns business tradeoffs.
21558,Appraisers and Assessors of Real Estate,13-2023.00,"Review information about transfers of property to ensure its accuracy, checking basic information on buyers, sellers, and sales prices and making corrections as necessary.",3.429,3.0,Green Light,3.0,2.667,4,2,Structured property-transfer checks are automatable; appraiser handles ambiguous/legal edge cases.
